"experiment","tau2","ci.lb","ci.ub","paper"
"Allowedforbidden",0.0272576648250154,0,0.126932615268226,"manylabs"
"Anchoring1",0.0257534600242878,0.00579785351122964,0.100820664035337,"manylabs"
"Anchoring2",0.165897619634757,0.0921402802098856,0.342501123596464,"manylabs"
"Anchoring3",0.416461212131405,0.340405325842867,1.01172404017251,"manylabs"
"Anchoring4",0.163028373597871,0.104666646945935,0.376632736284397,"manylabs"
"Flagpriming",0,0,0.0201672791049307,"manylabs"
"Gainloss",0.0445842542249438,0,0.189126811452776,"manylabs"
"Gamblersfallacy",0.0119565642888828,0,0.0595542891846099,"manylabs"
"IAT",0.0026623688732584,0,0.0114653370445359,"manylabs"
"Imaginedcontact",0.00943398553036572,0,0.050038202420631,"manylabs"
"Mathartgender",0.014325812659623,0,0.0683226840376224,"manylabs"
"Moneypriming",0,0,0.0211000340943243,"manylabs"
"Quote Attribution",0.0236613209594219,0.00862013555890588,0.0810139422459292,"manylabs"
"Reciprocity",0.0126506196055676,0,0.0366178995606991,"manylabs"
"Scales",0.00472171037069686,0.00180309574741498,0.00858767966059631,"manylabs"
"Sunkcosts",0.000160660737079344,0,0.020027001011633,"manylabs"
